naics_code_2022,naics_title_2022,status_code,naics_codes_2017,naics_titles_2017
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",N,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing,N,335110|335129,Electric Lamp Bulb and Part Manufacturing|Other Lighting Equipment Manufacturing
335910,Battery Manufacturing,N,335911|335912,Storage Battery Manufacturing|Primary Battery Manufacturing
336110,Automobile and Light Duty Motor Vehicle Manufacturing,N,336111|336112,Automobile Manufacturing|Light Truck and Utility Vehicle Manufacturing
337126,Household Furniture (except Wood and Upholstered) Manufacturing,N,337124|337125,Metal Household Furniture Manufacturing|Household Furniture (except Wood and Metal) Manufacturing
424350,Clothing and Clothing Accessories Merchant Wholesalers,N,424320|424330,"Men's and Boys' Clothing and Furnishings Merchant Wholesalers|Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
425120,Wholesale Trade Agents and Brokers,R,425110|425120,Business to Business Electronic Markets|Wholesale Trade Agents and Brokers
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",N,441228|454110,"Motorcycle, ATV, and All Other Motor Vehicle Dealers|Electronic Shopping and Mail-Order Houses"
441330,Automotive Parts and Accessories Retailers,N,441310|454110|454390,Automotive Parts and Accessories Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
441340,Tire Dealers,N,441320|454110|454390,Tire Dealers|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
444140,Hardware Retailers,N,444130|454110|454390,Hardware Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
444180,Other Building Material Dealers,N,444190|454110|454390,Other Building Material Dealers|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
444230,Outdoor Power Equipment Retailers,N,444210|454110|454390,Outdoor Power Equipment Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
444240,"Nursery, Garden Center, and Farm Supply Retailers",N,444220|454110|454390,"Nursery, Garden Center, and Farm Supply Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments"
445131,Convenience Retailers,N,445120|454110|454390,Convenience Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
445132,Vending Machine Operators,N,454210,Vending Machine Operators
445240,Meat Retailers,N,445210|454110|454390,Meat Markets|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
445250,Fish and Seafood Retailers,N,445220|454110|454390,Fish and Seafood Markets|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
445298,All Other Specialty Food Retailers,N,445299|454110|454390,All Other Specialty Food Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
445320,"Beer, Wine, and Liquor Retailers",N,445310|454110|454390,"Beer, Wine, and Liquor Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments"
449110,Furniture Retailers,N,442110|454110|454390,Furniture Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
449121,Floor Covering Retailers,N,442210|454110|454390,Floor Covering Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
449122,Window Treatment Retailers,N,442291|454110|454390,Window Treatment Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
449129,All Other Home Furnishings Retailers,N,442299|454110|454390,All Other Home Furnishings Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
449210,Electronics and Appliance Retailers,N,443141|443142|454110|454390,Household Appliance Stores|Electronics Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
455110,Department Stores,N,452210|454110,Department Stores|Electronic Shopping and Mail-Order Houses
455211,Warehouse Clubs and Supercenters,N,452311|454110,Warehouse Clubs and Supercenters|Electronic Shopping and Mail-Order Houses
