naics_code_2022,naics_title_2022,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022
213112,Support Activities for Oil and Gas Operations,direct,213112,9212,190758,19469508000,102063.91
213113,Support Activities for Coal Mining,direct,213113,187,3154,287575000,91177.87
213114,Support Activities for Metal Mining,direct,213114,236,5227,559880000,107113.07
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,direct,213115,204,3093,248424000,80318.14
221111,Hydroelectric Power Generation,direct,221111,552,4633,508017000,109651.85
221112,Fossil Fuel Electric Power Generation,direct,221112,1799,66913,8826107000,131904.22
221113,Nuclear Electric Power Generation,direct,221113,164,38376,5133046000,133756.67
221114,Solar Electric Power Generation,direct,221114,621,7822,1054415000,134801.2
221115,Wind Electric Power Generation,direct,221115,629,8410,1139337000,135474.08
221116,Geothermal Electric Power Generation,direct,221116,44,1335,166908000,125024.72
221117,Biomass Electric Power Generation,direct,221117,113,2513,273836000,108967.77
221118,Other Electric Power Generation,direct,221118,160,952,129202000,135716.39
221121,Electric Bulk Power Transmission and Control,direct,221121,364,19570,2959586000,151230.76
221122,Electric Power Distribution,direct,221122,8456,354608,44638820000,125882.16
221210,Natural Gas Distribution,direct,221210,2420,91556,10269552000,112166.89
221310,Water Supply and Irrigation Systems,direct,221310,4430,40710,3002986000,73765.32
221320,Sewage Treatment Facilities,direct,221320,562,6096,414866000,68055.45
221330,Steam and Air‑Conditioning Supply,direct,221330,111,1720,197988000,115109.3
236115,New Single-family Housing Construction (Except For-Sale Builders),direct,236115,59568,238333,15139468000,63522.33
236116,New Multifamily Housing Construction (except For-Sale Builders),direct,236116,3931,50573,5221010000,103237.1
236117,New Housing For-Sale Builders,direct,236117,12612,130923,14780215000,112892.43
236118,Residential Remodelers,direct,236118,133345,462690,25469622000,55046.84
236210,Industrial Building Construction,direct,236210,3173,75129,6470507000,86125.29
236220,Commercial and Institutional Building Construction,direct,236220,39005,618523,57022954000,92192.13
237110,Water and Sewer Line and Related Structures Construction,direct,237110,10818,164091,12686499000,77313.8
237120,Oil and Gas Pipeline and Related Structures Construction,direct,237120,2166,175880,14580447000,82899.97
237130,Power and Communication Line and Related Structures Construction,direct,237130,6737,260175,22524053000,86572.7
237210,Land Subdivision,direct,237210,4618,22909,2183946000,95331.35
237310,"Highway, Street, and Bridge Construction",direct,237310,9202,306947,28345235000,92345.7
237990,Other Heavy and Civil Engineering Construction,direct,237990,4673,82453,7483910000,90765.77
311111,Dog and Cat Food Manufacturing,direct,311111,437,28548,1894825000,66373.3
311119,Other Animal Food Manufacturing,direct,311119,1432,31887,1981046000,62127.07
311211,Flour Milling,direct,311211,348,15658,1040423000,66446.74
311212,Rice Milling,direct,311212,89,5521,314791000,57017.03
311213,Malt Manufacturing,direct,311213,39,809,58255000,72008.65
311221,Wet Corn Milling and Starch Manufacturing,direct,311221,70,7715,707464000,91699.81
311224,Soybean and Other Oilseed Processing,direct,311224,181,9175,787694000,85852.21
311225,Fats and Oils Refining and Blending,direct,311225,118,8587,498910000,58100.62
311230,Breakfast Cereal Manufacturing,direct,311230,99,11845,861139000,72700.63
311313,Beet Sugar Manufacturing,direct,311313,32,7010,448460000,63974.32
311314,Cane Sugar Manufacturing,direct,311314,59,7459,579080000,77635.07
311340,Nonchocolate Confectionery Manufacturing,direct,311340,538,27886,1734193000,62188.66
