rank,naics_code,entity_name,matrix_industry_code,matrix_industry_title,mapping_type,mapping_note,occupation_coverage_share_pct,frontline_operator_share_pct,knowledge_work_share_pct,workflow_intensity,documentation,coordination,compliance,care_service,top_occupation_1,top_occupation_2,top_occupation_3
495,315250,Cut and Sew Apparel Manufacturing (except Contractors),315000,Apparel manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,86.3,84.5,8.1,75.0,59.1,62.4,64.1,51.5,Sewing machine operators (31.5%),First-line supervisors of production and operating workers (3.3%),General and operations managers (3.1%)
496,424470,Meat and Meat Product Merchant Wholesalers,4240A2,"Merchant wholesalers, nondurable goods (4242,6)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,89.5,68.7,13.4,71.0,67.9,69.0,66.4,54.8,"Sales representatives, wholesale and manufacturing, technical and scientific products (11.2%)","Sales representatives, wholesale and manufacturing, except technical and scientific products (9.6%)",General and operations managers (5.2%)
497,311211,Flour Milling,311200,Grain and oilseed milling,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.2,82.3,8.8,77.1,66.5,67.8,73.0,55.6,Packaging and filling machine operators and tenders (10.9%),"Crushing, grinding, and polishing machine setters, operators, and tenders (7.0%)",Food batchmakers (6.1%)
498,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,327000,Nonmetallic mineral product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,89.5,89.2,4.8,79.6,64.1,65.9,72.8,53.0,Heavy and tractor-trailer truck drivers (18.4%),"Molders, shapers, and casters, except metal and plastic (5.3%)","Laborers and freight, stock, and material movers, hand (3.8%)"
499,335311,"Power, Distribution and Specialty Transformer Manufacturing",335300,Electrical equipment manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,61.8,61.7,26.7,66.4,68.3,69.4,72.4,51.5,"Inspectors, testers, sorters, samplers, and weighers (3.6%)",Electrical engineers (3.4%),First-line supervisors of production and operating workers (3.3%)
500,311224,Soybean and Other Oilseed Processing,311200,Grain and oilseed milling,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.2,82.3,8.8,77.1,66.5,67.8,73.0,55.6,Packaging and filling machine operators and tenders (10.9%),"Crushing, grinding, and polishing machine setters, operators, and tenders (7.0%)",Food batchmakers (6.1%)
501,322219,Other Paperboard Container Manufacturing,322200,Converted paper product manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,93.0,89.4,5.5,80.1,65.5,67.3,72.1,58.2,"Paper goods machine setters, operators, and tenders (24.2%)","Laborers and freight, stock, and material movers, hand (5.0%)",Industrial truck and tractor operators (4.9%)
502,336992,"Military Armored Vehicle, Tank and Tank Component Manufacturing",336900,Other transportation equipment manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,61.1,74.5,16.0,71.7,62.9,66.2,70.3,52.5,"Laborers and freight, stock, and material movers, hand (8.5%)","Welders, cutters, solderers, and brazers (7.6%)",First-line supervisors of production and operating workers (3.1%)
503,314999,All Other Miscellaneous Textile Product Mills,314000,Textile product mills,broad_parent,BLS matrix only publishes a broader parent line for this industry.,86.7,89.6,4.7,77.8,59.6,62.4,66.0,51.3,Sewing machine operators (24.7%),"Textile winding, twisting, and drawing out machine setters, operators, and tenders (5.9%)",First-line supervisors of production and operating workers (4.6%)
504,332431,Metal Can Manufacturing,332000,Fabricated metal product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,85.9,84.5,8.3,76.9,63.7,65.3,71.6,51.4,"Welders, cutters, solderers, and brazers (7.7%)",Machinists (7.0%),First-line supervisors of production and operating workers (4.8%)
505,332996,Fabricated Pipe and Pipe Fitting Manufacturing,3320A2,"Fabricated metal product manufacturing (3323,4)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,83.9,85.2,8.2,76.9,62.3,64.9,70.8,52.5,"Welders, cutters, solderers, and brazers (13.7%)","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (4.7%)",First-line supervisors of production and operating workers (4.7%)
506,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,326100,Plastics product manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,83.4,85.5,8.4,77.8,65.0,66.9,72.4,53.3,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic (12.9%)","Extruding and drawing machine setters, operators, and tenders, metal and plastic (5.5%)",First-line supervisors of production and operating workers (5.3%)
507,541430,Graphic Design Services,541400,Specialized design services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,81.8,23.3,64.4,45.7,68.8,74.2,67.8,52.0,Interior designers (19.0%),Graphic designers (16.2%),General and operations managers (7.0%)
508,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,423800,"Machinery, equipment, and supplies merchant wholesalers",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.6,81.9,7.7,77.3,69.3,68.6,69.1,55.9,"Sales representatives, wholesale and manufacturing, except technical and scientific products (14.4%)","Mobile heavy equipment mechanics, except engines (6.1%)",Industrial machinery mechanics (5.8%)
509,532112,Passenger Car Leasing,532100,Automotive equipment rental and leasing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.0,91.1,2.1,81.0,68.7,64.9,66.1,59.6,Counter and rental clerks (29.6%),Cleaners of vehicles and equipment (11.4%),Bus and truck mechanics and diesel engine specialists (5.9%)
510,713950,Bowling Centers,713900,Other amusement and recreation industries,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.8,86.8,7.4,77.3,58.6,65.2,64.6,65.4,Exercise trainers and group fitness instructors (14.0%),Amusement and recreation attendants (13.0%),Landscaping and groundskeeping workers (6.4%)
511,332722,"Bolt, Nut, Screw, Rivet and Washer Manufacturing",332720,"Turned product and screw, nut, and bolt manufacturing",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.9,86.7,5.9,78.5,65.1,65.8,73.5,50.0,Machinists (14.1%),Computer numerically controlled tool operators (10.3%),"Inspectors, testers, sorters, samplers, and weighers (6.3%)"
512,331511,Iron Foundries,331500,Foundries,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.9,87.6,7.3,78.0,63.5,64.6,72.0,50.4,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic (13.0%)","Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic (8.3%)",Foundry mold and coremakers (8.2%)
513,331315,"Aluminum Sheet, Plate and Foil Manufacturing",331300,Alumina and aluminum production and processing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.0,86.6,7.9,78.2,64.7,66.4,73.1,52.9,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (7.9%)",First-line supervisors of production and operating workers (5.7%),"Extruding and drawing machine setters, operators, and tenders, metal and plastic (5.5%)"
514,337127,Institutional Furniture Manufacturing,337000,Furniture and related product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,81.5,86.7,7.2,77.1,61.1,64.8,69.0,50.3,Cabinetmakers and bench carpenters (16.6%),First-line supervisors of production and operating workers (4.5%),"Woodworking machine setters, operators, and tenders, except sawing (4.3%)"
515,332114,Custom Roll Forming,332000,Fabricated metal product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,85.9,84.5,8.3,76.9,63.7,65.3,71.6,51.4,"Welders, cutters, solderers, and brazers (7.7%)",Machinists (7.0%),First-line supervisors of production and operating workers (4.8%)
516,339920,Sporting and Athletic Goods Manufacturing,339900,Other miscellaneous manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,71.2,73.3,16.2,72.0,66.7,68.0,69.6,53.0,"Sales representatives, wholesale and manufacturing, except technical and scientific products (4.1%)",First-line supervisors of production and operating workers (4.0%),General and operations managers (3.8%)
517,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",3320A2,"Fabricated metal product manufacturing (3323,4)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,83.9,85.2,8.2,76.9,62.3,64.9,70.8,52.5,"Welders, cutters, solderers, and brazers (13.7%)","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (4.7%)",First-line supervisors of production and operating workers (4.7%)
518,332811,Metal Heat Treating,332800,"Coating, engraving, heat treating, and allied activities",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,93.0,88.5,4.8,79.2,63.9,65.6,72.3,53.7,"Plating machine setters, operators, and tenders, metal and plastic (15.3%)","Coating, painting, and spraying machine setters, operators, and tenders (12.4%)","Laborers and freight, stock, and material movers, hand (6.2%)"
519,321215,Engineered Wood Member Manufacturing,321200,"Veneer, plywood, and engineered wood product manufacturing",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,73.9,88.2,6.5,77.8,60.4,64.7,69.6,51.8,"Woodworking machine setters, operators, and tenders, except sawing (10.0%)","Laborers and freight, stock, and material movers, hand (6.8%)","Sawing machine setters, operators, and tenders, wood (6.3%)"
520,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing and Extruding",331400,Nonferrous metal (except aluminum) production and processing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.7,83.1,11.0,76.8,66.7,67.6,73.3,52.3,"Extruding and drawing machine setters, operators, and tenders, metal and plastic (10.7%)",Metal-refining furnace operators and tenders (6.4%),First-line supervisors of production and operating workers (4.9%)
521,486110,Pipeline Transportation of Crude Oil,486100,Pipeline transportation of crude oil,exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",75.9,69.7,17.1,71.6,68.7,69.4,75.4,51.5,"Petroleum pump system operators, refinery operators, and gaugers (13.0%)","Pump operators, except wellhead pumpers (9.5%)",Heavy and tractor-trailer truck drivers (8.1%)
522,424510,Grain and Field Bean Merchant Wholesalers,424500,Farm product raw material merchant wholesalers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.5,69.3,3.9,72.8,64.8,66.9,69.1,56.3,"Laborers and freight, stock, and material movers, hand (12.4%)","Farmworkers, farm, ranch, and aquacultural animals (8.1%)",Heavy and tractor-trailer truck drivers (7.8%)
523,221320,Sewage Treatment Facilities,221300,"Water, sewage and other systems",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.6,86.2,4.0,81.0,72.5,71.5,75.5,54.2,Water and wastewater treatment plant and system operators (25.6%),General and operations managers (5.9%),"Maintenance and repair workers, general (5.2%)"
524,332991,Ball and Roller Bearing Manufacturing,3320A2,"Fabricated metal product manufacturing (3323,4)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,83.9,85.2,8.2,76.9,62.3,64.9,70.8,52.5,"Welders, cutters, solderers, and brazers (13.7%)","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (4.7%)",First-line supervisors of production and operating workers (4.7%)
525,316210,Footwear Manufacturing,316000,Leather and allied product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,79.0,91.1,3.3,79.2,59.7,63.0,68.7,54.2,Shoe and leather workers and repairers (23.1%),Shoe machine operators and tenders (12.9%),Sewing machine operators (7.6%)
526,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,4230A1,"Merchant wholesalers, durable goods (4232,3,5,6,7,9)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,87.8,80.0,8.9,75.9,67.3,68.2,67.9,55.5,"Sales representatives, wholesale and manufacturing, except technical and scientific products (15.2%)","Laborers and freight, stock, and material movers, hand (9.8%)",General and operations managers (5.1%)
527,713120,Amusement Arcades,713100,Amusement parks and arcades,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.1,88.8,7.9,76.8,57.4,62.4,61.6,62.0,Amusement and recreation attendants (29.7%),Fast food and counter workers (6.5%),"Lifeguards, ski patrol, and other recreational protective service workers (5.5%)"
528,327120,Clay Building Material and Refractories Manufacturing,327000,Nonmetallic mineral product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,89.5,89.2,4.8,79.6,64.1,65.9,72.8,53.0,Heavy and tractor-trailer truck drivers (18.4%),"Molders, shapers, and casters, except metal and plastic (5.3%)","Laborers and freight, stock, and material movers, hand (3.8%)"
529,326220,Rubber and Plastics Hoses and Belting Manufacturing,326200,Rubber product manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,87.1,85.8,9.0,78.1,66.5,66.9,73.5,53.2,Tire builders (14.9%),"Extruding, forming, pressing, and compacting machine setters, operators, and tenders (12.7%)",First-line supervisors of production and operating workers (4.4%)
530,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,4230A1,"Merchant wholesalers, durable goods (4232,3,5,6,7,9)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,87.8,80.0,8.9,75.9,67.3,68.2,67.9,55.5,"Sales representatives, wholesale and manufacturing, except technical and scientific products (15.2%)","Laborers and freight, stock, and material movers, hand (9.8%)",General and operations managers (5.1%)
531,115114,Postharvest Crop Activities (except Cotton Ginning),115000,Support activities for agriculture and forestry,broad_parent,BLS matrix only publishes a broader parent line for this industry.,80.2,35.4,14.6,59.3,65.7,68.6,70.7,55.6,"Farmworkers and laborers, crop, nursery, and greenhouse (12.3%)","Farmers, ranchers, and other agricultural managers (6.6%)","Graders and sorters, agricultural products (5.4%)"
532,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,423800,"Machinery, equipment, and supplies merchant wholesalers",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.6,81.9,7.7,77.3,69.3,68.6,69.1,55.9,"Sales representatives, wholesale and manufacturing, except technical and scientific products (14.4%)","Mobile heavy equipment mechanics, except engines (6.1%)",Industrial machinery mechanics (5.8%)
533,332216,Saw Blade and Handtool Manufacturing,3320A2,"Fabricated metal product manufacturing (3323,4)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,83.9,85.2,8.2,76.9,62.3,64.9,70.8,52.5,"Welders, cutters, solderers, and brazers (13.7%)","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (4.7%)",First-line supervisors of production and operating workers (4.7%)
534,212220,Gold Ore and Silver Ore Mining,212200,Metal ore mining,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,86.4,81.8,14.1,76.1,63.1,70.1,75.6,55.9,Continuous mining machine operators (14.0%),Operating engineers and other construction equipment operators (9.2%),"Mobile heavy equipment mechanics, except engines (7.5%)"
535,487210,"Scenic and Sightseeing Transportation, Water",487200,"Scenic and sightseeing transportation, water",exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",81.7,90.7,3.1,80.6,62.9,65.9,70.2,62.3,"Captains, mates, and pilots of water vessels (23.6%)",Sailors and marine oilers (10.2%),Passenger attendants (5.7%)
536,324110,Petroleum Refineries,324000,Petroleum and coal products manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,87.1,75.2,16.2,73.4,67.0,69.2,74.5,52.2,"Petroleum pump system operators, refinery operators, and gaugers (18.3%)",First-line supervisors of production and operating workers (5.0%),"Mixing and blending machine setters, operators, and tenders (3.9%)"
537,322130,Paperboard Mills,322100,"Pulp, paper, and paperboard mills",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.9,85.1,8.4,78.5,66.3,68.1,73.8,58.2,"Paper goods machine setters, operators, and tenders (26.9%)",Industrial machinery mechanics (8.0%),First-line supervisors of production and operating workers (5.6%)
538,311710,Seafood Product Preparation and Packaging,311700,Seafood product preparation and packaging,exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",83.4,89.6,3.2,81.0,65.3,68.5,72.8,59.9,"Meat, poultry, and fish cutters and trimmers (26.1%)","Packers and packagers, hand (7.1%)","Laborers and freight, stock, and material movers, hand (4.5%)"
539,325520,Adhesive Manufacturing,325000,Chemical manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,89.7,67.7,21.2,70.3,69.7,69.5,74.1,54.6,Chemical equipment operators and tenders (13.1%),Packaging and filling machine operators and tenders (6.9%),First-line supervisors of production and operating workers (4.5%)
540,311930,Flavoring Syrup and Concentrate Manufacturing,311900,Other food manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.8,86.8,6.6,78.8,65.2,66.9,72.2,56.3,Packaging and filling machine operators and tenders (11.8%),Food batchmakers (11.5%),"Laborers and freight, stock, and material movers, hand (6.1%)"
541,811411,Home and Garden Equipment Repair and Maintenance,811400,Personal and household goods repair and maintenance,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.9,91.4,1.4,80.3,63.4,65.4,68.3,52.0,Home appliance repairers (14.2%),Motorboat mechanics and service technicians (6.5%),General and operations managers (5.9%)
542,332439,Other Metal Container Manufacturing,332000,Fabricated metal product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,85.9,84.5,8.3,76.9,63.7,65.3,71.6,51.4,"Welders, cutters, solderers, and brazers (7.7%)",Machinists (7.0%),First-line supervisors of production and operating workers (4.8%)
543,561492,Court Reporting and Stenotype Services,561400,Business support services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.1,82.2,11.6,77.4,75.4,71.7,65.9,54.6,Customer service representatives (34.1%),Telemarketers (6.7%),Bill and account collectors (6.0%)
544,315210,Cut and Sew Apparel Contractors,315000,Apparel manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,86.3,84.5,8.1,75.0,59.1,62.4,64.1,51.5,Sewing machine operators (31.5%),First-line supervisors of production and operating workers (3.3%),General and operations managers (3.1%)
545,423210,Furniture Merchant Wholesalers,423000,"Merchant wholesalers, durable goods",broad_parent,BLS matrix only publishes a broader parent line for this industry.,88.0,76.5,12.2,74.0,67.9,68.2,67.8,54.9,"Sales representatives, wholesale and manufacturing, except technical and scientific products (12.4%)","Laborers and freight, stock, and material movers, hand (6.7%)",General and operations managers (4.7%)
546,339910,Jewelry and Silverware Manufacturing,339910,Jewelry and silverware manufacturing,exact_code,BLS matrix publishes this exact industry code.,87.0,88.9,3.6,79.6,65.9,65.5,69.9,54.1,Jewelers and precious stone and metal workers (28.1%),"Inspectors, testers, sorters, samplers, and weighers (7.6%)",General and operations managers (5.0%)
547,713930,Marinas,713900,Other amusement and recreation industries,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.8,86.8,7.4,77.3,58.6,65.2,64.6,65.4,Exercise trainers and group fitness instructors (14.0%),Amusement and recreation attendants (13.0%),Landscaping and groundskeeping workers (6.4%)
548,333992,Welding and Soldering Equipment Manufacturing,3330A1,"Machinery manufacturing (3331,2,4,9)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,74.6,70.5,19.8,70.0,65.1,66.9,71.5,51.4,"Welders, cutters, solderers, and brazers (7.8%)",Machinists (4.1%),Mechanical engineers (3.7%)
549,323117,Books Printing,323000,Printing and related support activities,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.3,84.6,8.9,77.7,65.4,70.0,69.5,55.8,Printing press operators (23.9%),Print binding and finishing workers (8.6%),Customer service representatives (4.5%)
550,721199,All Other Traveler Accommodation,721100,Traveler accommodation,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,96.1,92.6,1.7,79.7,56.8,64.6,62.0,63.7,Maids and housekeeping cleaners (22.4%),"Hotel, motel, and resort desk clerks (13.1%)",Waiters and waitresses (7.2%)
551,325120,Industrial Gas Manufacturing,3250A2,"Chemical manufacturing (3255,6)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,91.4,77.5,12.8,75.1,68.5,69.2,72.8,56.1,Chemical equipment operators and tenders (11.5%),Packaging and filling machine operators and tenders (10.2%),"Mixing and blending machine setters, operators, and tenders (7.8%)"
552,481112,Scheduled Freight Air Transportation,481100,Scheduled air transportation,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,95.4,97.1,1.9,84.6,65.5,65.4,79.6,65.2,Flight attendants (25.1%),"Airline pilots, copilots, and flight engineers (17.2%)",Reservation and transportation ticket agents and travel clerks (15.5%)
553,332510,Hardware Manufacturing,332000,Fabricated metal product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,85.9,84.5,8.3,76.9,63.7,65.3,71.6,51.4,"Welders, cutters, solderers, and brazers (7.7%)",Machinists (7.0%),First-line supervisors of production and operating workers (4.8%)
554,332912,Fluid Power Valve and Hose Fitting Manufacturing,3320A2,"Fabricated metal product manufacturing (3323,4)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,83.9,85.2,8.2,76.9,62.3,64.9,70.8,52.5,"Welders, cutters, solderers, and brazers (13.7%)","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (4.7%)",First-line supervisors of production and operating workers (4.7%)
555,115115,Farm Labor Contractors and Crew Leaders,115000,Support activities for agriculture and forestry,broad_parent,BLS matrix only publishes a broader parent line for this industry.,80.2,35.4,14.6,59.3,65.7,68.6,70.7,55.6,"Farmworkers and laborers, crop, nursery, and greenhouse (12.3%)","Farmers, ranchers, and other agricultural managers (6.6%)","Graders and sorters, agricultural products (5.4%)"
556,326122,Plastics Pipe and Pipe Fitting Manufacturing,326100,Plastics product manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,83.4,85.5,8.4,77.8,65.0,66.9,72.4,53.3,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic (12.9%)","Extruding and drawing machine setters, operators, and tenders, metal and plastic (5.5%)",First-line supervisors of production and operating workers (5.3%)
557,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,3330A1,"Machinery manufacturing (3331,2,4,9)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,74.6,70.5,19.8,70.0,65.1,66.9,71.5,51.4,"Welders, cutters, solderers, and brazers (7.8%)",Machinists (4.1%),Mechanical engineers (3.7%)
558,711410,"Agents and Managers for Artists, Athletes, Entertainers and Other Public Figures",711400,"Agents and managers for artists, athletes, entertainers, and other public figures",exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",76.3,28.4,57.4,47.0,65.3,71.4,57.5,52.8,"Agents and business managers of artists, performers, and athletes (35.6%)","Secretaries and administrative assistants, except legal, medical, and executive (14.9%)",General and operations managers (7.7%)
559,459930,Manufactured (Mobile) Home Dealers,459900,Other miscellaneous retailers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,92.8,86.6,4.0,77.6,61.5,65.2,62.8,58.2,Retail salespersons (30.5%),Cashiers (9.4%),Animal caretakers (8.0%)
560,314120,Curtain and Linen Mills,314000,Textile product mills,broad_parent,BLS matrix only publishes a broader parent line for this industry.,86.7,89.6,4.7,77.8,59.6,62.4,66.0,51.3,Sewing machine operators (24.7%),"Textile winding, twisting, and drawing out machine setters, operators, and tenders (5.9%)",First-line supervisors of production and operating workers (4.6%)
561,326291,Rubber Product Manufacturing for Mechanical Use,326200,Rubber product manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,87.1,85.8,9.0,78.1,66.5,66.9,73.5,53.2,Tire builders (14.9%),"Extruding, forming, pressing, and compacting machine setters, operators, and tenders (12.7%)",First-line supervisors of production and operating workers (4.4%)
562,311422,Specialty Canning,311400,Fruit and vegetable preserving and specialty food manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.8,89.0,5.1,80.2,66.1,67.0,73.6,56.3,Packaging and filling machine operators and tenders (14.7%),Food batchmakers (12.5%),Industrial truck and tractor operators (5.2%)
563,212290,Other Metal Ore Mining,212200,Metal ore mining,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,86.4,81.8,14.1,76.1,63.1,70.1,75.6,55.9,Continuous mining machine operators (14.0%),Operating engineers and other construction equipment operators (9.2%),"Mobile heavy equipment mechanics, except engines (7.5%)"
564,331410,Nonferrous Metal (except Aluminum) Smelting and Refining,331400,Nonferrous metal (except aluminum) production and processing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.7,83.1,11.0,76.8,66.7,67.6,73.3,52.3,"Extruding and drawing machine setters, operators, and tenders, metal and plastic (10.7%)",Metal-refining furnace operators and tenders (6.4%),First-line supervisors of production and operating workers (4.9%)
565,311314,Cane Sugar Manufacturing,311300,Sugar and confectionery product manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,93.1,89.0,4.8,79.7,64.5,66.2,71.5,56.6,Food batchmakers (20.8%),Packaging and filling machine operators and tenders (8.5%),Retail salespersons (7.7%)
566,337122,Nonupholstered Wood Household Furniture Manufacturing,337000,Furniture and related product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,81.5,86.7,7.2,77.1,61.1,64.8,69.0,50.3,Cabinetmakers and bench carpenters (16.6%),First-line supervisors of production and operating workers (4.5%),"Woodworking machine setters, operators, and tenders, except sawing (4.3%)"
567,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,3250A1,"Chemical manufacturing (3251,2,3,9)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,90.5,71.6,18.7,72.2,69.5,69.4,75.1,54.3,Chemical equipment operators and tenders (18.0%),First-line supervisors of production and operating workers (5.1%),Chemical plant and system operators (3.2%)
568,339992,Musical Instrument Manufacturing,339900,Other miscellaneous manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,71.2,73.3,16.2,72.0,66.7,68.0,69.6,53.0,"Sales representatives, wholesale and manufacturing, except technical and scientific products (4.1%)",First-line supervisors of production and operating workers (4.0%),General and operations managers (3.8%)
569,321992,Prefabricated Wood Building Manufacturing,321900,Other wood product manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,71.8,89.6,3.9,78.9,60.8,65.4,69.4,52.0,"Woodworking machine setters, operators, and tenders, except sawing (10.5%)","Laborers and freight, stock, and material movers, hand (6.4%)","Sawing machine setters, operators, and tenders, wood (4.4%)"
570,332913,Plumbing Fixture Fitting and Trim Manufacturing,3320A2,"Fabricated metal product manufacturing (3323,4)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,83.9,85.2,8.2,76.9,62.3,64.9,70.8,52.5,"Welders, cutters, solderers, and brazers (13.7%)","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (4.7%)",First-line supervisors of production and operating workers (4.7%)
571,311212,Rice Milling,311200,Grain and oilseed milling,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.2,82.3,8.8,77.1,66.5,67.8,73.0,55.6,Packaging and filling machine operators and tenders (10.9%),"Crushing, grinding, and polishing machine setters, operators, and tenders (7.0%)",Food batchmakers (6.1%)
572,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",327000,Nonmetallic mineral product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,89.5,89.2,4.8,79.6,64.1,65.9,72.8,53.0,Heavy and tractor-trailer truck drivers (18.4%),"Molders, shapers, and casters, except metal and plastic (5.3%)","Laborers and freight, stock, and material movers, hand (3.8%)"
573,322120,Paper Mills,322100,"Pulp, paper, and paperboard mills",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.9,85.1,8.4,78.5,66.3,68.1,73.8,58.2,"Paper goods machine setters, operators, and tenders (26.9%)",Industrial machinery mechanics (8.0%),First-line supervisors of production and operating workers (5.6%)
574,483113,Coastal and Great Lakes Freight Transportation,483100,"Deep sea, coastal, and great lakes water transportation",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,84.9,80.1,9.5,77.1,70.7,71.1,71.2,57.0,Customer service representatives (16.0%),Sailors and marine oilers (10.8%),"Captains, mates, and pilots of water vessels (10.7%)"
575,337214,Office Furniture (Except Wood) Manufacturing,337000,Furniture and related product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,81.5,86.7,7.2,77.1,61.1,64.8,69.0,50.3,Cabinetmakers and bench carpenters (16.6%),First-line supervisors of production and operating workers (4.5%),"Woodworking machine setters, operators, and tenders, except sawing (4.3%)"
