rank,naics_code,entity_name,matrix_industry_code,matrix_industry_title,mapping_type,mapping_note,occupation_coverage_share_pct,frontline_operator_share_pct,knowledge_work_share_pct,workflow_intensity,documentation,coordination,compliance,care_service,top_occupation_1,top_occupation_2,top_occupation_3
148,237120,Oil and Gas Pipeline and Related Structures Construction,237100,Utility system construction,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,93.8,88.1,4.5,80.6,63.5,72.3,76.0,56.9,Construction laborers (21.2%),Operating engineers and other construction equipment operators (10.2%),First-line supervisors of construction trades and extraction workers (9.2%)
149,311612,Meat Processed from Carcasses,311600,Animal slaughtering and processing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,92.9,93.2,2.8,80.9,61.5,64.9,70.8,56.6,"Meat, poultry, and fish cutters and trimmers (18.6%)",Slaughterers and meat packers (11.2%),"Laborers and freight, stock, and material movers, hand (7.0%)"
150,812331,Linen Supply,812300,Drycleaning and laundry services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,94.6,94.8,0.7,79.7,53.9,63.5,61.8,57.6,Laundry and dry-cleaning workers (37.0%),"Pressers, textile, garment, and related materials (9.1%)",Driver/sales workers (8.1%)
151,561990,All Other Support Services,561900,Other support services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,80.7,75.7,16.2,73.1,65.5,68.3,68.2,60.6,Crossing guards and flaggers (9.8%),Firefighters (5.7%),"Laborers and freight, stock, and material movers, hand (5.3%)"
152,812210,Funeral Homes and Funeral Services,812200,Death care services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,93.0,85.8,1.1,81.4,68.4,71.1,67.1,76.8,Funeral attendants (22.5%),"Morticians, undertakers, and funeral arrangers (18.8%)",Funeral home managers (9.7%)
153,541810,Advertising Agencies,541800,"Advertising, public relations, and related services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,84.6,37.1,45.6,53.3,67.3,72.7,62.7,51.1,Advertising sales agents (9.5%),Public relations specialists (8.0%),Market research analysts and marketing specialists (7.4%)
154,561330,Professional Employer Organizations,561300,Employment services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,76.0,77.2,18.4,73.4,65.3,68.2,69.4,62.9,"Laborers and freight, stock, and material movers, hand (13.5%)",Human resources specialists (4.0%),Registered nurses (3.6%)
155,713290,Other Gambling Industries,713200,Gambling industries (except casino hotels),numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.9,88.8,5.8,77.0,58.2,63.1,61.4,56.7,Gambling dealers (18.5%),Gambling change persons and booth cashiers (5.4%),Bartenders (4.7%)
156,332710,Machine Shops,332710,Machine shops,exact_code,BLS matrix publishes this exact industry code.,92.2,87.1,5.7,78.1,63.6,65.2,72.3,48.8,Machinists (24.2%),Computer numerically controlled tool operators (11.1%),"Welders, cutters, solderers, and brazers (5.5%)"
157,211120,Crude Petroleum Extraction,211000,Oil and gas extraction,broad_parent,BLS matrix only publishes a broader parent line for this industry.,89.1,58.9,25.7,67.2,71.3,73.9,73.8,57.1,Wellhead pumpers (10.1%),"Service unit operators, oil and gas (9.2%)",General and operations managers (5.9%)
158,813930,Labor Unions and Similar Labor Organizations,813930,Labor unions and similar labor organizations,exact_code,BLS matrix publishes this exact industry code.,92.2,27.9,58.0,48.7,71.6,72.6,64.6,55.8,Labor relations specialists (44.0%),General and operations managers (9.5%),"Secretaries and administrative assistants, except legal, medical, and executive (7.6%)"
159,444120,Paint and Wallpaper Retailers,444100,Building material and supplies dealers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,95.3,91.6,4.5,78.2,57.6,62.9,61.3,57.5,Retail salespersons (33.8%),Cashiers (11.9%),"Laborers and freight, stock, and material movers, hand (8.5%)"
160,522390,Other Activities Related to Credit Intermediation,5220A1,"Credit intermediation and related activities (5221,3)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,91.0,57.6,29.8,65.0,74.1,70.2,69.8,52.1,Tellers (16.1%),"Securities, commodities, and financial services sales agents (12.3%)",Loan officers (7.6%)
161,311611,Animal (except Poultry) Slaughtering,311600,Animal slaughtering and processing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,92.9,93.2,2.8,80.9,61.5,64.9,70.8,56.6,"Meat, poultry, and fish cutters and trimmers (18.6%)",Slaughterers and meat packers (11.2%),"Laborers and freight, stock, and material movers, hand (7.0%)"
162,441222,Boat Dealers,441200,Other motor vehicle dealers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,95.3,88.6,2.6,79.5,65.2,66.2,66.7,56.8,Retail salespersons (17.2%),Recreational vehicle service technicians (7.4%),Motorcycle mechanics (6.7%)
163,813910,Business Associations,813900,"Business, professional, labor, political, and similar organizations",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,84.6,42.1,38.4,58.1,71.5,73.9,66.7,57.4,Labor relations specialists (10.4%),General and operations managers (9.1%),"Secretaries and administrative assistants, except legal, medical, and executive (5.1%)"
164,561312,Executive Search Services,561300,Employment services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,76.0,77.2,18.4,73.4,65.3,68.2,69.4,62.9,"Laborers and freight, stock, and material movers, hand (13.5%)",Human resources specialists (4.0%),Registered nurses (3.6%)
165,561920,Convention and Trade Show Organizers,561900,Other support services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,80.7,75.7,16.2,73.1,65.5,68.3,68.2,60.6,Crossing guards and flaggers (9.8%),Firefighters (5.7%),"Laborers and freight, stock, and material movers, hand (5.3%)"
166,713910,Golf Courses and Country Clubs,713900,Other amusement and recreation industries,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.8,86.8,7.4,77.3,58.6,65.2,64.6,65.4,Exercise trainers and group fitness instructors (14.0%),Amusement and recreation attendants (13.0%),Landscaping and groundskeeping workers (6.4%)
167,621991,Blood and Organ Banks,621990,All other ambulatory healthcare services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,76.1,71.5,16.3,75.9,78.5,75.6,74.0,74.9,Phlebotomists (12.9%),Registered nurses (7.9%),Customer service representatives (4.8%)
168,813312,"Environment, Conservation and Wildlife Organizations",813300,Social advocacy organizations,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,80.7,32.0,47.0,53.6,73.1,74.7,67.7,63.4,General and operations managers (8.0%),Social and human service assistants (7.3%),Public relations specialists (4.5%)
169,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",5220A1,"Credit intermediation and related activities (5221,3)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,91.0,57.6,29.8,65.0,74.1,70.2,69.8,52.1,Tellers (16.1%),"Securities, commodities, and financial services sales agents (12.3%)",Loan officers (7.6%)
170,621512,Diagnostic Imaging Centers,621500,Medical and diagnostic laboratories,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,68.4,78.8,11.8,78.3,76.1,72.0,72.3,73.1,Phlebotomists (14.6%),Radiologic technologists and technicians (5.6%),Couriers and messengers (5.4%)
171,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,62230S,Specialty (except psychiatric and substance abuse) hospitals; state,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,73.6,74.3,13.3,77.9,77.7,75.3,76.8,78.6,Registered nurses (18.0%),Medical secretaries and administrative assistants (4.3%),Nursing assistants (4.3%)
172,485991,Special Needs Transportation,485900,Other transit and ground passenger transportation,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.4,94.6,2.0,84.5,66.3,68.7,74.7,76.5,Shuttle drivers and chauffeurs (54.6%),"Bus drivers, transit and intercity (5.2%)","Dispatchers, except police, fire, and ambulance (4.9%)"
173,493120,Refrigerated Warehousing and Storage,493000,Warehousing and storage,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.6,93.6,3.3,80.5,60.1,65.6,67.2,57.5,"Laborers and freight, stock, and material movers, hand (22.5%)",Stockers and order fillers (20.7%),Industrial truck and tractor operators (16.6%)
174,311991,Perishable Prepared Food Manufacturing,311900,Other food manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.8,86.8,6.6,78.8,65.2,66.9,72.2,56.3,Packaging and filling machine operators and tenders (11.8%),Food batchmakers (11.5%),"Laborers and freight, stock, and material movers, hand (6.1%)"
175,561611,Investigation and Personal Background Check Services,561610,"Investigation, guard, and armored car services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,94.7,98.1,0.5,90.8,81.0,82.0,80.6,80.8,Security guards (85.3%),First-line supervisors of security workers (3.9%),General and operations managers (1.0%)
176,541214,Payroll Services,541200,"Accounting, tax preparation, bookkeeping, and payroll services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.7,33.3,54.8,52.1,77.8,72.0,68.6,51.9,Accountants and auditors (31.4%),"Bookkeeping, accounting, and auditing clerks (9.4%)",Tax preparers (6.3%)
177,813920,Professional Organizations,813900,"Business, professional, labor, political, and similar organizations",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,84.6,42.1,38.4,58.1,71.5,73.9,66.7,57.4,Labor relations specialists (10.4%),General and operations managers (9.1%),"Secretaries and administrative assistants, except legal, medical, and executive (5.1%)"
178,485113,Bus and Other Motor Vehicle Transit Systems,485100,Urban transit systems,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.8,93.6,3.1,81.8,62.2,63.5,72.6,67.3,"Bus drivers, transit and intercity (55.4%)",Bus and truck mechanics and diesel engine specialists (5.9%),Shuttle drivers and chauffeurs (4.7%)
179,441110,New Car Dealers,441100,Automobile dealers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,94.4,89.8,3.0,79.6,63.7,65.0,66.9,56.4,Automotive service technicians and mechanics (20.3%),Retail salespersons (17.9%),Cleaners of vehicles and equipment (5.9%)
180,424490,Other Grocery and Related Products Merchant Wholesalers,4240A3,"Merchant wholesalers, nondurable goods (4241,7,9)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,91.1,78.4,6.8,75.3,65.5,66.8,67.6,55.2,"Sales representatives, wholesale and manufacturing, except technical and scientific products (12.3%)",Heavy and tractor-trailer truck drivers (10.5%),"Laborers and freight, stock, and material movers, hand (8.4%)"
181,561790,Other Services to Buildings and Dwellings,561700,Services to buildings and dwellings,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,94.3,95.0,1.1,81.7,56.5,68.7,67.5,61.2,"Janitors and cleaners, except maids and housekeeping cleaners (37.6%)",Landscaping and groundskeeping workers (24.6%),Pest control workers (4.1%)
