matrix_code,matrix_title,code_prefix
221113,Nuclear electric power generation,221113
623000,Nursing and residential care facilities,623
623100,Nursing care facilities (skilled nursing facilities),6231
561100,Office administrative services,5611
621390,Offices of all other health practitioners,62139
621310,Offices of chiropractors,62131
621200,Offices of dentists,6212
621330,Offices of mental health practitioners (except physicians),62133
621320,Offices of optometrists,62132
621300,Offices of other health practitioners,6213
621340,"Offices of physical, occupational and speech therapists, and audiologists",62134
621100,Offices of physicians,6211
211000,Oil and gas extraction,211
621900,Other ambulatory healthcare services,6219
713900,Other amusement and recreation industries,7139
811190,Other automotive repair and maintenance,81119
238290,Other building equipment contractors,23829
6110P2,Other educational services; private (6114-7),611
6110Y2,Other educational services; state and local (6114-7),611
221118,Other electric power generation,221118
335900,Other electrical equipment and component manufacturing,3359
311900,Other food manufacturing,3119
337900,Other furniture related product manufacturing,3379
237900,Other heavy and civil engineering construction,2379
524290,Other insurance related activities,52429
525900,Other investment pools and funds,5259
339900,Other miscellaneous manufacturing,3399
459900,Other miscellaneous retailers,4599
441200,Other motor vehicle dealers,4412
522290,Other nondepository credit intermediation,52229
812900,Other personal services,8129
486900,Other pipeline transportation,4869
541900,"Other professional, scientific, and technical services",5419
623900,Other residential care facilities,6239
61160L,Other schools and instruction; local,6116
61160P,Other schools and instruction; private,6116
61160S,Other schools and instruction; state,6116
810000,Other services (except public administration),81
238900,Other specialty trade contractors,2389
488900,Other support activities for transportation,4889
561900,Other support services,5619
485900,Other transit and ground passenger transportation,4859
336900,Other transportation equipment manufacturing,3369
321900,Other wood product manufacturing,3219
621400,Outpatient care centers,6214
621420,Outpatient mental health and substance abuse centers,62142
238320,Painting and wall covering contractors,23832
322000,Paper manufacturing,322
711100,Performing arts companies,7111
711000,"Performing arts, spectator sports, and related industries",711
811400,Personal and household goods repair and maintenance,8114
812000,Personal and laundry services,812
812100,Personal care services,8121
324000,Petroleum and coal products manufacturing,324
325400,Pharmaceutical and medicine manufacturing,3254
456110,Pharmacies and drug retailers,45611
541920,Photographic services,54192
486000,Pipeline transportation,486
486100,Pipeline transportation of crude oil,4861
486200,Pipeline transportation of natural gas,4862
326000,Plastics and rubber products manufacturing,326
326100,Plastics product manufacturing,3261
238220,"Plumbing, heating, and air-conditioning contractors",23822
491000,Postal service,491
238110,Poured concrete foundation and structure contractors,23811
237130,Power and communication line and related structures construction,23713
331000,Primary metal manufacturing,331
323000,Printing and related support activities,323
814000,Private households,814
423400,Professional and commercial equipment and supplies merchant wholesalers,4234
541000,"Professional, scientific, and technical services",541
540000,"Professional, scientific, and technical services",54
7113-4,"Promoters of performing arts and sports, and agents for public figures",7113
711300,"Promoters of performing arts, sports, and similar events",7113
62220L,Psychiatric and substance abuse hospitals; local,6222
62220P,Psychiatric and substance abuse hospitals; private,6222
62220S,Psychiatric and substance abuse hospitals; state,6222
513-90,"Publishing, broadcasting, and content providers",513
322100,"Pulp, paper, and paperboard mills",3221
721200,RV (recreational vehicle) parks and recreational camps,7212
516100,Radio and Television Broadcasting Stations,5161
516110,Radio broadcasting stations,51611
482000,Rail transportation,482
336500,Railroad rolling stock manufacturing,3365
531000,Real estate,531
530000,Real estate and rental and leasing,53
813000,"Religious, grantmaking, civic, professional, and similar organizations",813
562900,Remediation and other waste management services,5629
532000,Rental and leasing services,532
5320A1,"Rental and leasing services (5322,3,4)",532
811000,Repair and maintenance,811
541710,"Research and development in the physical, engineering, and life sciences",54171
541720,Research and development in the social sciences and humanities,54172
236100,Residential building construction,2361
623210,Residential intellectual and developmental disability facilities,62321
623200,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",6232
623220,Residential mental health and substance abuse facilities,62322
44-450,Retail trade,44
238160,Roofing contractors,23816
721300,"Rooming and boarding houses, dormitories, and workers' camps",7213
326200,Rubber product manufacturing,3262
321100,Sawmills and wood preservation,3211
487000,Scenic and sightseeing transportation,487
487-80,Scenic and sightseeing transportation and support activities for transportation,487
487100,"Scenic and sightseeing transportation, land",4871
487900,"Scenic and sightseeing transportation, other",4879
487200,"Scenic and sightseeing transportation, water",4872
481100,Scheduled air transportation,4811
485400,School and employee bus transportation,4854
541700,Scientific research and development services,5417
311700,Seafood product preparation and packaging,3117
523000,"Securities, commodity contracts, and other financial investments and related activities",523
561620,Security systems services,56162
TE1100,Self-employed workers,
334400,Semiconductor and other electronic component manufacturing,3344
624120,Services for the elderly and persons with disabilities,62412
561700,Services to buildings and dwellings,5617
336600,Ship and boat building,3366
458200,Shoe retailers,4582
813300,Social advocacy organizations,8133
624000,Social assistance,624
513200,Software publishers,5132
221114,Solar electric power generation,221114
512200,Sound recording industries,5122
722300,Special food services,7223
541400,Specialized design services,5414
62230L,Specialty (except psychiatric and substance abuse) hospitals; local,6223
62230P,Specialty (except psychiatric and substance abuse) hospitals; private,6223
62230S,Specialty (except psychiatric and substance abuse) hospitals; state,6223
238000,Specialty trade contractors,238
711200,Spectator sports,7112
459110,Sporting goods retailers,45911
459000,"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers",459
9992-3,"State and local government, excluding education and hospitals",9992
999200,"State government, excluding education and hospitals",9992
331200,Steel product manufacturing from purchased steel,3312
311300,Sugar and confectionery product manufacturing,3113
115000,Support activities for agriculture and forestry,115
488100,Support activities for air transportation,4881
213000,Support activities for mining,213
488200,Support activities for rail transportation,4882
488400,Support activities for road transportation,4884
488000,Support activities for transportation,488
488300,Support activities for water transportation,4883
485300,Taxi and limousine service,4853
61150L,Technical and trade schools; local,6115
61150P,Technical and trade schools; private,6115
61150S,Technical and trade schools; state,6115
517000,Telecommunications,517
516120,Television broadcasting stations,51612
561320,Temporary help services,56132
541380,Testing laboratories and services,54138
313000,Textile mills,313
314000,Textile product mills,314
711110,Theater companies and dinner theaters,71111
312200,Tobacco manufacturing,3122
TE1200,Total wage and salary employment,
TE1000,"Total, all industries",
485000,Transit and ground passenger transportation,485
48-490,Transportation and warehousing,48
336000,Transportation equipment manufacturing,336
561500,Travel arrangement and reservation services,5615
721100,Traveler accommodation,7211
484000,Truck transportation,484
332720,"Turned product and screw, nut, and bolt manufacturing",33272
485100,Urban transit systems,4851
220000,Utilities,22
221000,Utilities,221
237100,Utility system construction,2371
321200,"Veneer, plywood, and engineered wood product manufacturing",3212
541940,Veterinary services,54194
624300,Vocational rehabilitation services,6243
493000,Warehousing and storage,493
562100,Waste collection,5621
562000,Waste management and remediation services,562
562200,Waste treatment and disposal,5622
483000,Water transportation,483
221300,"Water, sewage and other systems",2213
519000,"Web search portals, libraries, archives, and other information services",519
420000,Wholesale trade,42
425000,Wholesale trade agents and brokers,425
221115,Wind electric power generation,221115
321000,Wood product manufacturing,321
